transaction_id,line_id,store_id,register_id,item_id,payment_type,transaction_ts,business_date,quantity,unit_price_cents,discount_cents,tax_rate_bps,extended_cents,net_cents,tax_cents,line_total_cents
005a450a-81bd-4fde-a4a0-7bd4faece40c,5958f94a-32c0-4026-87dd-102611fd8f9a,101ca63e-de0e-4477-b770-cb3bd43484ad,97f15bcf-2c90-4141-8b77-55275b215ba1,2ca4d0ac-49cb-48bd-b350-059f711535f3,mobile_wallet,2026-04-21 12:25:16.739076,2026-04-21,4,1433,0,846,11464,5732,485,6217
,6e6410e5-5164-41f3-9341-185d94786286,101ca63e-de0e-4477-b770-cb3bd43484ad,,528d2b4c-52ab-487c-804d-cd4361643b70,mobile_wallet,2026-04-21 23:41:54.739076,2026-04-21,6,1464,0,751,8784,8784,660,9444
,,101ca63e-de0e-4477-b770-cb3bd43484ad,97f15bcf-2c90-4141-8b77-55275b215ba1,fde4aeb2-7535-48d2-8608-653db67ffb04,mobile_wallet,2026-04-22 03:40:15.739076,2026-04-22,5,1368,0,0,6840,6840,0,6840
005a450a-81bd-4fde-a4a0-7bd4faece40c,84577b6c-5c38-4a39-bedb-2a3e21742813,101ca63e-de0e-4477-b770-cb3bd43484ad,97f15bcf-2c90-4141-8b77-55275b215ba1,7909b9f9-8e3b-4863-bcaf-8d1403634056,mobile_wallet,2026-04-21 06:54:49.739076,2026-04-21,6,1143,0,0,3429,3429,0,3429
005a450a-81bd-4fde-a4a0-7bd4faece40c,a495e7b6-e6d9-4bb3-8098-adf7b8210537,101ca63e-de0e-4477-b770-cb3bd43484ad,,53662932-d0e7-4c30-a412-4176c25242ca,mobile_wallet,2026-04-20 21:13:50.739076,2026-04-21,2,58779,0,-4,1432,1432,0,9409
005a450a-81bd-4fde-a4a0-7bd4faece40c,cf7a90e6-496b-4ab0-a1a7-7ef2fb07a608,101ca63e-de0e-4477-b770-cb3bd43484ad,97f15bcf-2c90-4141-8b77-55275b215ba1,2ae5ff4c-5f85-4139-a8ca-92a1c2c42494,mobile_wallet,2026-04-21 11:28:21.739076,2026-04-21,2,1331,0,812,2662,2662,432,2878
005a450a-81bd-4fde-a4a0-7bd4faece40c,d139ecd9-7fb6-4dc8-afde-6454375447d1,,97f15bcf-2c90-4141-8b77-55275b215ba1,,mobile_wallet,2026-04-21 13:11:07.739076,2026-04-21,5,1143,971,-1,5710,9488,0,4748
005a450a-81bd-4fde-a4a0-7bd4faece40c,fc41ea90-ae04-492e-8afc-27d54b01733a,101ca63e-de0e-4477-b770-cb3bd43484ad,97f15bcf-2c90-4141-8b77-55275b215ba1,2fe29126-089c-42be-8bb3-a9cbfe89639f,mobile_wallet,2026-04-21 19:20:20.739076,2026-04-21,2,921,396,0,1842,1446,0,1446
,fc939c4e-4bcf-4d3e-ad50-04cca53e6fa2,101ca63e-de0e-4477-b770-cb3bd43484ad,97f15bcf-2c90-4141-8b77-55275b215ba1,6eeb7da6-fac1-49de-b037-d6c2ceb67638,mobile_wallet,2026-04-22 17:55:27.739076,2026-04-21,2,2272,0,0,2272,2272,0,2272
005a450a-81bd-4fde-a4a0-7bd4faece40c,fde56a71-6051-4155-b7f7-a6a310f7d995,101ca63e-de0e-4477-b770-cb3bd43484ad,97f15bcf-2c90-4141-8b77-55275b215ba1,a96db425-8856-4d1a-a57e-eebe4c6fdda5,mobile_wallet,2026-04-21 16:03:34.739076,2026-04-21,0,420,0,0,842,842,0,842
